文件说明,这是一个“秦安县城区核心路口（扩展版）”模拟交通数据集，用于毕业设计/算法验证，不代表真实交警、城运中心或住建部门监测结果。
空间范围,甘肃省天水市秦安县县城（兴国镇）核心城区路口仿真样本，采用30-50个路口需求中的40个路口方案。
时间范围,2025-10-01 至 2025-10-31，按小时生成。
数据用途,可用于复杂网络建模、标签传播社区检测、关键节点分析、可视化与系统联调。
建模说明,路口名称基于秦安县公开可见道路名称进行仿真组合，车流量、速度、延误、排队长度均为规则驱动的模拟值。
节点规模,40个核心路口节点。
边规模,67条道路连接边（无向分析可直接使用from/to，若做有向图可按需要双向展开）。
小时数据量,"29,760条小时级路口交通记录。"
路段日数据量,"2,077条按日聚合的路段边权记录。"
Intersections,路口节点表：ID、名称、类别、功能区、网格坐标、设计通行能力、度。
Road_Segments,路段边表：起终点、道路名、长度、车道数、自由流速度、功能等级。
Hourly_Traffic,小时级路口数据：车流量、饱和度、速度、延误、排队长度、天气、日类型等。
Segment_Daily,按日路段权重：日流量代理值、平均速度、峰小时流量、V/C、旅行时间、社区权重。
适配建议,社区检测可使用Segment_Daily中的community_weight作为边权，也可自行用daily_volume_proxy或1/travel_time构建边权。
注意事项,如需更贴近真实县城路网，可后续在此基础上继续删改路口和边，形成论文专用实验样本。
